X,Y,objectid,cenefa,zona_sitp,nombre,via,direccion_bandera,localidad,longitud,latitud,consecutivo_zona,tipo_m_s,consola,panel,audio,zonas_nuevas,globalid,shape
1005695.0098,1018711.2889,6097,473A01,01,Br. Buenavista,KR 5D,Kr5D - CL 188B,Usaquén,-74.02617251,4.76540637,473,S,Kr5D - CL 188B (473A01),Kr5D - CL 188B,Carrera5 D Calle 188 Be,B,{9104E424-604E-4A16-BD93-6BEBE29C98B1},
996457.4134,1008477.6177,6098,473A05,05,Parque Normandía,KR 73A,KR 73A - CL 52A,Engativá,-74.10943693,4.67286365,473,S,KR 73A - CL 52A (473A05),KR 73A - CL 52A,Carrera 73 A Calle 52 A,K,{A7241B8A-9D66-41AF-A86C-3A66862E403E},
991528.9464,1009753.707,6099,473A06,06,Br. Belen,KR 116,KR 116 - CL 117F,Fontibón,-74.153858,4.6844,473,S,KR 116 - CL 117F (473A06),KR 116 - CL 117F,Carrera 116 Calle 117 F,K,{CC3795CC-0624-4AD7-ACF4-45559BC6028A},
995039.1403,1002221.9012,6100,473A08,08,Br. La Camelia,Cl 2,CL 2 - KR 54-25,Puente Aranda,-74.12221614,4.6162919,473,S,CL 2 - KR 54-25 (473A08),CL 2 - KR 54-25,Calle Segunda Carrera 54,F,{01C756C1-AC1F-4F3F-9841-0B333FE1B98E},
989656.8728,997464.6066,6101,473A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 73B,Ciudad Bolívar,-74.17071655,4.5732665,473,S,CL 76A Sur - KR 73B (473A11),CL 76A Sur - KR 73B,Calle 76 A Sur Carrera 73 Be,H,{EFACBA94-7377-4318-9494-89519E2EC0E6},
996489.3161,990387.746300001,6102,473A12,12,Br. Gran Yomasa II Sector,CL 81 Sur,CL 81 SUR - KR 2C Este,Usme,-74.10914219,4.50927494,473,S,CL 81 SUR - KR 2C Este (473A12),CL 81 SUR - KR 2C Este,Calle 81 Sur Carrera Segunda C Este,H,{E28CE197-CC52-44F3-ACA8-02A46BB3CF8A},
999423.9099,999350.2093,6103,473A13,13,Iglesia Las Cruces,KR 9,KR 9 - CL 2,Santa Fe,-74.08269956,4.59032427,473,S,KR 9 - CL 2 (473A13),KR 9 - CL 2,Carrera Novena Calle Segunda,L,{8CD208B0-76F9-4DD6-AE4D-92A83ACBB6AB},
1005736.4304,1018833.9861,6104,474A01,01,IED Nuevo Horizonte,KR 5B,KR 5B - CL 189B,Usaquén,-74.02579905,4.7665159,474,S,KR 5B - CL 189B (474A01),KR 5B - CL 189B,Carrera Quinta Be Calle 189 Be,B,{F1EC72C9-6A01-481E-8342-E9DE8C577682},
1000416.2432,1015787.6943,6105,474A03,03,Br. Casa Blanca I,KR  76,KR 76 - CL 146F,Suba,-74.073756,4.73897,474,S,KR 76 - CL 146F (474A03),KR 76 - CL 146F,Carrera 76 Calle 146 F,C,{06D0BA11-4EFC-4CDD-BA81-72B68AF07FD0},
992104.4141,1010540.657,6106,474A06,06,Br. El Refugio,CL 23B,CL 23B - KR 118 Bis,Fontibón,-74.148672,4.691517,474,S,CL 23B - KR 118 Bis (474A06),CL 23B - KR 118 Bis,Calle 23 Be Carrera 118 Bis,K,{BB2394DD-FAB6-4CD0-AC57-C1FEA31E143F},
995082.6506,1002193.6004,6107,474A08,08,Br. Galán,Cl 2,CL 2 - KR 54,Puente Aranda,-74.121824,4.616036,474,S,CL 2 - KR 54 (474A08),CL 2 - KR 54,Calle Segunda Carrera 54,F,{A46F6072-15E0-4905-A9F8-36218CA82202},
991944.8121,1000926.7062,6108,474A09,09,La Alejandra etapa III,KR  72J,KR 72J - CL 42G Sur,Kennedy,-74.15010162,4.60457702,474,S,KR 72J - CL 42G Sur (474A09),KR 72J - CL 42G Sur,Carrera 72 J Calle 42 G Sur,G,{6652191E-AAB5-49D6-917D-F3C668A40B55},
989744.4308,997441.0649,6109,474A11,11,Br. Caracolí,Cl 76A S,CL 76A Sur - KR 72,Ciudad Bolívar,-74.16992748,4.57305371,474,S,CL 76A Sur - KR 72 (474A11),CL 76A Sur - KR 72,Calle 76 A Sur Carrera 72,H,{8E8D8651-5A15-42F2-9B67-BBA40AD522C4},
995113.9136,992158.262700001,6110,474A12,12,Br. La Aurora,TV 3H,TV 3H - CL 69B Sur,Usme,-74.12153671,4.5252853,474,S,TV 3H - CL 69B Sur (474A12),TV 3H - CL 69B Sur,Transversal Tercera H Calle 69 Be Sur,H,{975EA9B2-83EF-4360-9C1E-599B9173EC50},
999885.259,998382.110200001,6111,474A13,13,Br. El Balcón,AC 1,AC 1 - KR 1B,Santa Fe,-74.07854193,4.58156966,474,S,AC 1 - KR 1B (474A13),AC 1 - KR 1B,Avenida Calle Primera Carrera Primera Be,L,{298EDA4E-712D-4DD5-9610-875FE07A65CD},
996220.4232,1017201.643,6112,475A03,03,Sabana de Tibabuyes,CL 144,CL 144 - KR 136A,Suba,-74.11157675,4.75175561,475,S,CL 144 - KR 136A (475A03),CL 144 - KR 136A,Calle 144 Carrera 136 A,C,{E9150F65-894F-49DF-A657-944AAC14C03D},
994720.5213,1010971.9423,6113,475A05,05,Br. Villa del Mar,AC 63,AC 63 - KR 103A,Engativá,-74.12509291,4.69541915,475,S,AC 63 - KR 103A (475A05),AC 63 - KR 103A,Avenida Calle 63 Carrera 103 A,D,{5A4D3379-F681-448D-8B10-332C14B784D8},
